internal_id	customer_label	rawseqs(R1+R2)	trimmed_seqs(R1+R2)	dada2_infered	chimera_seqs	chimera_free_seqs	unique_seqs	seqs(after_size_filtration)	final_unique_seqs
zr24558_1V3V4	84B.R1.48H	126020	126020	60831	6857	53974	225	53584	136
zr24558_2V3V4	84B.R2.48H	226262	226256	107855	14624	93231	451	92462	242
zr24558_11V3V4	73B.R1.48H	142494	142492	68513	7540	60973	262	60614	151
zr24558_12V3V4	73B.R2.48H	143944	143944	71142	13076	58066	72	57963	49
zr24558_21V3V4	66A.R1.48H	207408	207408	100414	17464	82950	373	82365	203
zr24558_22V3V4	66A.R2.48H	143722	143720	70975	11574	59401	71	59259	46
zr24558_37V3V4	67A.R2.48H	126676	126676	61190	7238	53952	221	53667	126
zr24558_41V3V4	92A.R1.48H	158258	158256	76544	10034	66510	284	66117	169
zr24558_42V3V4	92A.R2.48H	101234	101232	49315	9860	39455	105	39338	72
zr24558_46V3V4	92B.R1.48H	148742	148738	71210	11138	60072	291	59570	157
zr24558_47V3V4	92B.R2.48H	120362	120362	59256	14466	44790	109	44629	70
zr24558_56V3V4	66B.R1.48H	154792	154792	75676	8158	67518	172	67311	113
zr24558_57V3V4	66B.R2.48H	126390	126390	62537	6040	56497	72	56404	52
zr24558_76V3V4	276B.R1.48H	126242	126242	59999	9697	50302	264	49964	170
zr24558_77V3V4	276B.R2.48H	119832	119830	59445	3402	56043	56	55906	27
zr24558_86V3V4	116A.R1.48H	153048	153046	74546	6931	67615	234	67182	124
zr24558_87V3V4	116A.R2.48H	100830	100828	48552	6455	42097	240	41712	128
zr24558_97V3V4	176A.R1.48H	116434	116434	56514	4736	51778	206	51457	128
zr24558_98V3V4	176A.R2.48H	112046	112044	55388	6454	48934	94	48789	51
zr24558_102V3V4	276A.R1.48H	127826	127826	62279	5992	56287	217	55941	112
zr24558_103V3V4	276A.R2.48H	124964	124962	61853	3559	58294	97	58093	47
zr24558_107V3V4	84A.R1.48H	167818	167816	80645	13548	67097	412	66345	207
zr24558_108V3V4	84A.R2.48H	146080	146080	70080	12378	57702	336	57149	178
zr24558_132V3V4	73A.R1.48H	132414	132412	63962	10057	53905	344	53244	172
zr24558_133V3V4	73A.R2.48H	158928	158924	76849	15230	61619	289	61250	177
zr24558_157V3V4	67B.R1.48H	128586	128586	62162	9961	52201	266	51734	140
zr24558_158V3V4	67B.R2.48H	128416	128414	63231	9457	53774	105	53642	68
zr24558_147V3V4	176B.R1.48H	149296	149296	71246	7976	63270	319	62836	201
zr24558_148V3V4	176B.R2.48H	111590	111590	55313	5519	49794	77	49681	45
zr24558_3V3V4	84B.S1.48H	159572	159564	75671	12163	63508	407	62909	229
zr24558_4V3V4	84B.S2.48H	104054	104054	50226	6883	43343	183	42998	88
zr24558_13V3V4	73B.S1.48H	154276	154274	74469	9690	64779	205	64506	130
zr24558_14V3V4	73B.S2.48H	98416	98416	48359	8394	39965	93	39807	51
zr24558_23V3V4	66A.S1.48H	176694	176694	86272	15766	70506	186	70238	108
zr24558_24V3V4	66A.S2.48H	141980	141978	68394	10137	58257	354	57587	184
zr24558_38V3V4	67A.S1.48H	130686	130684	63176	5602	57574	236	57229	134
zr24558_39V3V4	67A.S2.48H	120616	120614	58315	7121	51194	256	50795	147
zr24558_43V3V4	92A.S1.48H	129116	129116	62105	9333	52772	253	52390	158
zr24558_44V3V4	92A.S2.48H	110464	110464	54402	5683	48719	78	48656	60
zr24558_48V3V4	92B.S1.48H	117814	117812	57974	5295	52679	121	52470	74
zr24558_49V3V4	92B.S2.48H	165012	165010	79749	9190	70559	291	70098	161
zr24558_58V3V4	66B.S1.48H	141696	141694	68062	7118	60944	260	60524	149
zr24558_59V3V4	66B.S2.48H	148782	148782	73671	6697	66974	74	66853	48
zr24558_78V3V4	276B.S1.48H	117624	117624	56222	6483	49739	234	49409	143
zr24558_79V3V4	276B.S2.48H	146676	146676	72583	2549	70034	106	69874	62
zr24558_88V3V4	116A.S1.48H	137340	137338	66714	6960	59754	198	59432	107
zr24558_89V3V4	116A.S2.48H	137076	137074	67316	9523	57793	164	57502	76
zr24558_99V3V4	176A.S1.48H	128810	128810	62614	7091	55523	218	55159	120
zr24558_100V3V4	176A.S2.48H	121880	121876	59881	7201	52680	120	52512	70
zr24558_104V3V4	276A.S1.48H	135188	135186	66027	6028	59999	219	59715	116
zr24558_105V3V4	276A.S2.48H	107608	107608	53182	3175	50007	88	49851	54
zr24558_109V3V4	84A.S1.48H	142636	142636	68348	11159	57189	342	56583	187
zr24558_110V3V4	84A.S2.48H	127008	127008	61225	11387	49838	242	49432	125
zr24558_134V3V4	73A.S1.48H	168932	168932	80756	12815	67941	395	67414	229
zr24558_135V3V4	73A.S2.48H	119848	119846	57412	13423	43989	247	43609	151
zr24558_159V3V4	67B.S1.48H	111566	111566	54355	6732	47623	190	47424	126
zr24558_160V3V4	67B.S2.48H	113676	113674	55265	6949	48316	217	48043	131
zr24558_149V3V4	176B.S1.48H	135344	135344	65328	9144	56184	252	55831	167
zr24558_150V3V4	176B.S2.48H	141384	141384	69544	5977	63567	156	63332	73
